1,2,3,4,5,coherence
-4.84E-06,-11.51292546,-11.51292546,-11.51292546,-11.51292546,1
-6.70E-07,-11.51292546,-11.51292546,-11.51292546,-11.51292546,4
-1.94E-07,-11.51292546,-11.51292546,-11.51292546,-11.51292546,2
-0.20202932,-9.827029,-8.577029,-11.452029,-7.952029,5
-0.2522352,-11.377235,-10.627235,-11.51292546,-8.252235,1
-0.12713651,-10.877136,-10.127136,-11.51292546,-8.877136,1
-0.000998633,-7.7509985,-11.1259985,-11.51292546,-11.51292546,1
-0.012138031,-6.887138,-9.637138,-11.51292546,-11.51292546,1
-0.003719081,-7.628719,-9.878719,-11.51292546,-11.51292546,1
-0.014740888,-9.889741,-9.139741,-11.51292546,-9.014741,1
-0.32304603,-7.698046,-5.323046,-8.698046,-5.823046,1
-0.32304603,-7.698046,-5.323046,-8.698046,-5.823046,1
-0.000497629,-7.625498,-11.51292546,-11.51292546,-11.51292546,1
-0.000717077,-7.250717,-11.51292546,-11.51292546,-11.51292546,1
-0.000717077,-7.250717,-11.51292546,-11.51292546,-11.51292546,1
-3.13E-07,-11.51292546,-11.51292546,-11.51292546,-11.51292546,1
-1.94E-07,-11.51292546,-11.51292546,-11.51292546,-11.51292546,1
-3.13E-07,-11.51292546,-11.51292546,-11.51292546,-11.51292546,1
-0.06288368,-10.062883,-8.687883,-11.437883,-8.437883,1
-0.06288368,-10.062883,-8.687883,-11.437883,-8.437883,1
-0.06288368,-10.062883,-8.687883,-11.437883,-8.437883,1
-2.3028688,-2.3028688,-0.9278687,-1.8028687,-1.4278687,1
-1.509289,-2.634289,-1.384289,-2.384289,-1.009289,1
-1.4880533,-2.2380533,-1.3630533,-2.4880533,-1.1130533,1
-11.51292546,-2.8364253,-0.08642538,-3.8364253,-11.51292546,2
-11.477945,-2.6029458,-0.102945715,-3.8529458,-11.51292546,3
-11.51292546,-3.3216083,-0.07160838,-3.5716083,-11.51292546,4
-5.92E-05,-10.875059,-11.51292546,-11.51292546,-11.51292546,1
-1.18E-05,-11.375011,-11.51292546,-11.51292546,-11.51292546,1
-0.004091935,-11.51292546,-11.51292546,-11.51292546,-11.51292546,1
-0.004091459,-11.51292546,-11.51292546,-11.51292546,-11.51292546,1
-0.006727214,-11.51292546,-11.51292546,-11.51292546,-11.51292546,1
-3.2403784,-1.9903784,-0.49037835,-1.8653784,-2.8653784,1
-1.8063364,-1.8063364,-0.6813364,-2.5563364,-2.4313364,1
