group,COT1,COT2,COT3,COT4,COT5
0_0,1.0001286713727773,2.000072750357742,1.0001064545063305,1.0006893114655606,2.000032005914506
0_1,2.000132537360261,3.0000000000000004,2.9999999999999996,2.0000501116099287,2.0000504311268523
0_2,3.0000000000000004,3.9997640466478916,3.0,2.4896374895123596,2.498006716489504
0_3,2.000089194627432,2.0001955047722033,2.0000515078279593,3.0000000000000004,3.0000000000000004
0_4,3.0,2.4857654651693872,3.0,2.4867541790468692,3.9998493994574824
0_5,3.0000000000000004,3.0,2.999999999999999,2.000050914215131,2.000050711258475
0_6,3.999949408548292,3.9999439422139647,3.999940016152527,3.999925768248364,3.999942332958217
0_7,3.9999498139146636,3.999947633197991,3.9999480400904712,3.9999451913220856,2.956417573908378
0_8,2.0000684230506383,2.0000739895681283,1.000122738345781,2.000050786328967,2.000099407113609
0_9,3.0000000000000004,3.9998119216875923,2.9999999999999996,3.0,2.0911289425964523
0_10,3.999948807408644,3.999948254716477,3.999949190838985,3.9999453875365782,3.999937770546872
0_11,3.0,3.999944097763258,3.999940591479581,2.007168811144097,3.9999436031550166
0_12,3.9999488152761717,3.99994934303599,3.9999496529521448,2.9774589497739825,3.999947148603838
0_13,3.0,3.000000000000001,2.0000607859669435,2.9999999999999996,3.0
0_14,2.0000532221274203,2.9999999999999996,1.0003227277493583,2.0000500585435605,2.0000504883313375
0_15,2.9999999999999996,3.9997876290957652,3.0000000000000004,2.1277542448357334,2.175822448464629
1_0,2.0000544488478518,2.000066122144529,2.000055267624796,2.0003770709639968,2.0000500346323706
1_1,3.9998996310128097,3.0,3.0,3.999900629220102,3.9998995001030346
1_2,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0,2.0000683907506684
1_3,2.9999999999999996,3.0,2.000067422424213,2.000088933887427,3.0
1_4,2.000064347915849,2.0001677470179273,2.0001425291407955,3.0000000000000004,3.0000000000000004
1_5,2.0000567778634695,2.000091822112456,2.0000868351535854,2.0005790135543733,3.0
1_6,3.9999191317765614,3.9998071496666388,3.99958365735969,3.9999264720459347,3.0
1_7,2.0000509186080717,2.000064126357511,2.000207484430704,2.000050068079253,2.0001979791475146
1_8,1.0001049819176366,1.0001167674065496,1.0001019205843193,2.000050135020437,2.000051941362313
1_9,3.0,3.0000000000000004,3.0000000000000004,3.0,2.9999999999999996
1_10,2.000064780865833,2.00011242504145,2.0000711831502977,3.9926320887223588,2.0001564334141673
1_11,3.999938792446924,3.999907175735803,3.9999415391320996,3.999939610144691,3.999946347400415
1_12,3.0000000000000004,3.0,3.0,2.002205904973471,3.9999171600998404
1_13,2.0000515968286394,2.0000500103642938,2.000207459724881,2.0000500950238504,2.0000500344541794
1_14,1.005598373150264,2.00007575957325,2.000050057756663,1.0021077605795425,2.000050028958745
1_15,3.0000000000000004,3.0,3.0000000000000004,3.999836395011972,2.9999999999999996
2_0,2.000065258164678,2.000058685958804,2.00012973668686,2.999999999999999,2.000061153566938
2_1,3.9999483148765527,3.9999485535293937,3.99994848140267,3.9999443024179167,3.999946577116657
2_2,3.999948467581831,3.99994955365125,3.9999490709562293,3.9999472617842677,3.9999470732996967
2_3,3.9999430450274494,3.999919259463442,2.9999999999999996,3.9998479197360446,3.0000000000000004
2_4,3.9999489322604753,3.9999412617505463,2.9999999999999996,3.9999336130052954,2.9999999999999996
2_5,3.9999456883270583,3.99994548343583,3.0000000000000004,3.9999453514563483,3.9999382337609677
2_6,4.999450406219568,3.9999485018928778,3.999947171519867,3.9999397159868284,3.999946291300646
2_7,3.99994946286175,3.9999462963480577,3.9999482540606808,3.9999486341380255,3.9999413410937845
2_8,3.0000000000000004,3.0000000000000004,3.0000000000000004,2.9999999999999996,2.000739857015021
2_9,3.9999473615016017,3.0,3.0,3.0000000000000004,3.9998900052204824
2_10,3.999948620400392,3.999948621079752,3.9999494207479733,3.9999473250384594,3.9999478037121947
2_11,3.9999487862267036,3.9999487405960417,3.9999492420586114,3.999947998334328,3.9999475189110267
2_12,3.000000000000001,3.0000000000000004,3.9998423479836642,3.0000000000000004,3.0
2_13,3.9996554265384967,3.0,3.0,3.0,3.0000000000000004
2_14,3.9999497095842207,3.99994217546742,3.99994830344539,3.9999455211678443,3.999943982526971
2_15,3.0000000000000004,3.000000000000001,3.999911227684851,3.999906216655533,3.9998694011095712
3_0,2.0000586150138213,2.0000500030817285,2.0001046047768223,2.0000500647834265,2.0000500733117663
3_1,2.9999999999999996,3.0,2.000070527512494,2.000050138822819,3.0
3_2,3.000000000000001,3.000000000000001,3.9998721510203312,3.0000000000000004,3.999917435534214
3_3,2.000100078726298,2.000111792521578,2.000173705481735,2.0003952053452294,2.9999999999999996
3_4,2.0000528522070864,2.0001134969317773,2.0001090272694966,2.000050264602661,2.0000503809433967
3_5,2.000054194112073,2.000066040327079,2.0000789113313684,2.000365039122029,2.0000508062940012
3_6,3.0,2.999999999999999,2.000162224976723,3.0,3.99943971382723
3_7,3.999948979440285,2.999999999999999,3.0,3.0,3.999895450393487
3_8,3.99994894278591,3.999937543866316,2.9999999999999996,3.9999267332097346,3.9999474031739286
3_9,2.0001001366539772,2.9999999999999996,2.000064321954179,2.0000536197954863,2.000191124279472
3_10,3.0,3.0,3.0000000000000004,3.999521029956417,3.0000000000000004
3_11,2.001365144677565,3.0,3.0,2.003222933758184,3.999904914267316
3_12,3.9999499140830794,4.934035671085637,3.9999495162339826,3.999946963310532,3.9999481708477225
3_13,3.0000000000000004,3.0000000000000004,2.999999999999999,2.0000736140388264,3.0000000000000004
3_14,2.000058905681127,2.0000882710448646,2.0001084995257536,1.000434704195395,1.0002260701284122
3_15,3.0,3.0,3.0,3.0,3.0000000000000004
4_0,2.000053271886649,2.000050020370998,2.000117246470421,2.0000508065027565,2.000050034721827
4_1,3.0000000000000004,3.0000000000000004,3.0,1.5021912574432061,2.0000803215036225
4_2,3.0000000000000004,2.000142319829177,2.9999999999999996,3.0000000000000004,2.999999999999999
4_3,2.0000507358428274,2.000056015017668,2.0001067703573923,2.0008834108903595,2.000050022111491
4_4,2.9999999999999996,3.0000000000000004,3.0,3.0000000000000004,2.000055267530016
4_5,3.0000000000000004,3.0,3.0,3.0,3.000000000000001
4_6,3.0000000000000004,2.00260467553309,3.9998395134869855,3.999786314898557,3.000000000000001
4_7,4.999550258544993,3.9999454907006693,3.9999488980557705,3.999893351435711,3.9999451660461824
4_8,1.0001000307655161,1.000109250101714,1.0001111063468595,1.0001014223259796,1.0001571612046112
4_9,2.9999999999999996,2.9999999999999996,2.0000643220500143,2.0000567644774354,2.9999999999999996
4_10,3.0,3.0,3.0000000000000004,3.0,3.0000000000000004
4_11,2.000050981557076,2.000061039989945,1.0003416255063569,1.001124601741135,2.0000501552007277
4_12,3.999949892002017,3.999949605992792,3.99994178395049,3.9999447479955794,3.999947035430719
