group,COT1,COT2,COT3,COT4,COT5
0_0,2.000075197531573,2.000069721938638,1.0005480597084682,2.0000787988122988,1.0001814898242554
0_1,3.0000000000000004,3.0,2.0001117008751352,3.9997045353193297,3.000000000000001
0_2,3.9999464641867837,3.9999477527496934,3.999946768949948,3.999945449089473,3.9999459809436733
0_3,2.0005679606474454,2.0003120539629697,2.000163205645163,3.9998070549684943,3.0
0_4,3.9999484586122542,3.999945934593442,3.999942523367548,3.99989921153935,3.999929490183167
0_5,2.0028300393839387,3.999925915685019,3.9998080304975447,3.0,3.0000000000000004
0_6,4.999871139762014,3.9998675315339485,4.9996775795273205,4.999821636458044,4.999852205681618
0_7,3.0,3.99994899769597,3.999944519382032,3.999943060088222,3.9999483408794725
0_8,3.9999396626464154,4.999838059026536,3.9999222489137027,2.0002027068459722,3.000000000000001
0_9,3.9999444306517398,3.99991885386326,3.999937743959339,3.9999443129251424,3.999948210159551
0_10,4.999886376494947,3.9997754182409175,3.9999383243399955,4.999896849313704,4.999863043843094
0_11,3.999943156584016,3.9998140698156646,3.999941785208466,4.99987100902402,4.999871115835546
0_12,3.9999446634076867,3.9999412967229886,3.999947689265898,3.9999193996410427,3.999925887341065
0_13,2.9999999999999996,3.9999452601883596,3.0,3.9999446979928877,3.0
0_14,1.0009862473736628,2.000071725138559,1.0006752917588344,2.0000250498644343,2.00006951799497
0_15,3.999949162017398,3.9999488724513963,3.9999480480113974,3.9999481851515037,3.9999474314664254
1_0,2.0000627895169854,1.0001516676656679,2.0002004622846843,2.000056838493213,2.00005248298402
1_1,3.999661948237435,3.9997754779834405,3.9999449056368377,4.99989156841052,3.9999486413611094
1_2,3.999910170256571,3.999880068510893,3.99992698894304,3.0000000000000004,2.0002750784469026
1_3,3.9999462313018244,3.9999461663106355,3.0000000000000004,3.9999348123030583,3.999947680529223
1_4,3.9999473645533645,3.9999489806920083,3.9999429556982893,4.999799305940765,3.9998995004195836
1_5,3.999946411929176,3.9999466491313975,3.999938487792906,3.9999406171539262,3.9999260032283233
1_6,4.99989695537928,4.999882592932933,4.999861692174397,4.99989964677064,4.999893507827136
1_7,3.999949001748695,3.9999262580851425,3.9999401889823596,3.999925831552869,3.9999482683293412
1_8,4.999852374716617,4.999796758874147,3.0000000000000004,3.0000000000000004,2.0000756656529113
1_9,4.999625550257555,3.9999481013532496,3.9999445073732627,3.9999404856801797,3.9999349165425357
1_10,1.0006249304618804,2.000075751547434,3.0000000000000004,3.0,2.0005701714267095
1_11,4.999899991727304,4.99989988421257,4.999899799368069,4.999899992513345,4.999899989927236
1_12,3.99994124059315,3.99994467777112,3.9999489683966,3.9999385693491747,3.999947762272578
1_13,3.99976475439613,3.000000000000001,2.0001325322383354,3.0000000000000004,3.0
1_14,2.0000579707972306,2.0000565265149484,1.0009858761692738,2.0000590606041584,2.0000557477413845
1_15,3.9999488715872666,3.9999458092726394,3.9999442465968396,3.9999481420485283,3.999947240227191
2_0,2.000072320732684,2.0000615744514096,2.000107469909398,2.0000900319977086,3.0
2_1,3.9999486554152113,3.999948629918114,3.999946248574189,3.999945523682637,3.999948212782065
2_2,4.99979990898333,4.999627984370319,3.999942238058063,4.99983890577758,4.999852672978286
2_3,3.999941148984252,3.9999472712308104,3.9999179351940635,3.99994654166594,3.999948534737816
2_4,3.999919547457105,3.999885769014566,4.999899595311808,4.999882375326162,4.999894948363607
2_5,3.999947412126347,3.999949248864442,3.9999450964037635,3.999948186760574,3.999948512018773
2_6,4.999898502913582,4.999899326775473,3.9995767916625025,4.99989994463261,4.999899906133088
2_7,3.999931342217018,3.999949171750019,3.999941711977637,4.999820939746788,4.999871170334057
2_8,3.9999457646266614,3.999943185143336,3.9998370647066475,3.9999106536244833,2.9999999999999996
2_9,3.9999430966928413,4.999735004739144,3.999944769290513,3.999925906983821,3.999931475106774
2_10,4.999899931139351,4.999899898790247,4.999885621644188,4.999899845806963,4.99989356600737
2_11,4.9998998043270175,4.999899885034514,4.9998806214647,4.999892906487898,4.999899105061437
2_12,3.9999474511877127,3.999945787805455,3.999946807468854,3.999910665269192,3.99994567214536
2_13,4.998924385024294,3.999942520709314,3.999908510009692,3.999943633681107,3.9999451646455473
2_14,3.9999494348852593,3.9999493380716165,3.9999464066726893,3.999946130135649,3.9999493436324225
2_15,3.9992105237705267,3.9999260195115167,3.9999486684140453,3.000000000000001,3.99981295750066
3_0,2.0000577228036565,2.000059788421604,2.00007742451517,2.00005851964961,2.0000501445978145
3_1,3.0000000000000004,3.999909636821018,3.0000000000000004,3.0000000000000004,3.0000000000000004
3_2,3.9999446328819377,3.9999477195531377,3.9999104831980072,3.9999310647660278,3.999910154158796
3_3,3.9998852451002596,3.0,3.0,2.999999999999999,3.0
3_4,3.0,2.000084512490766,3.0,2.0000850625061837,3.0000000000000004
3_5,3.9999386357306834,3.0,3.999857427913603,3.999884378086246,3.0000000000000004
3_6,3.999931573961425,4.999871281903144,3.9999391995461315,4.999896916211551,3.9991676025212497
3_7,3.9999457479867204,3.999947280474545,4.999894362767227,3.999944322670318,3.9999107357794816
3_8,4.999687587005447,3.999931521164901,3.999942864490503,3.999944012093945,4.999877507915943
3_9,3.9999473729090163,3.9999466490719136,3.999946532744451,3.9999385970093373,3.9999427992778216
3_10,4.999822044147279,4.999839241435434,4.999732872420735,4.999882449218339,3.999725149421033
3_11,3.999931538495806,4.9998526459355235,3.9998964869189644,4.999894942164167,3.999725687455051
3_12,3.9999494685536514,4.9989507020728405,3.999948925972884,4.999821001239019,4.999891772719587
3_13,3.999925652294957,3.0,3.0,3.0,3.999770741478469
3_14,2.000067631999631,3.0000000000000004,2.000130039389213,2.0001093473949387,2.0000659282237603
3_15,3.9999467171703826,3.9999467186480984,3.9998895537867476,3.9999485282711693,3.000000000000001
4_0,3.0000000000000004,3.0,2.000072269758088,2.000091157399468,3.0
4_1,3.0000000000000004,3.000000000000001,3.000000000000001,3.0,3.0000000000000004
4_2,3.9999468266417657,3.99994789709162,3.9999388964062867,3.999937661797904,3.999940919954354
4_3,3.0,2.0001437445697285,3.0000000000000004,3.0000000000000004,3.0
4_4,3.0000000000000004,3.0,3.0,3.0,3.0000000000000004
4_5,3.9999458760251723,3.9999242402509982,3.999771745990509,3.9998983718565135,3.999925827935059
4_6,3.999935579702124,4.999734903226682,3.999943315671063,3.9999256844741717,3.999947515466199
4_7,3.999919539292893,3.9999477453770287,3.99994340754964,4.999838510057057,3.9999471215032942
4_8,3.999932143422817,3.9999115675346815,1.0002286338437425,3.999905869153545,3.9997614819299745
4_9,3.999944033842287,3.9999344003759916,2.0001002527943865,3.999880127649239,3.000000000000001
4_10,3.9999450716339005,3.9999408807607346,3.999928338397476,3.9998835237045176,3.0000000000000004
4_11,3.0,3.999944822381872,3.9999329924769125,3.0000000000000004,3.9999318608939616
4_12,3.999946778772467,3.999945855897926,3.9999447479599985,3.9999446304801665,3.999948786584415
4_13,3.0000000000000004,3.0,3.0,3.000000000000001,3.0000000000000004
4_14,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0,3.0
4_15,3.0000000000000004,3.9998383761538534,3.0000000000000004,3.0,3.0
